Latitude,Longitude,Lieu,Jours sur place,Lien image Wikimedia
0.789,113.921,Bornéo Kalimantan jungle,6,https://upload.wikimedia.org/wikipedia/commons/6/6c/Ushuaia_city.jpg
4.21,118.616,Sabah Bornéo montagnes,4,https://upload.wikimedia.org/wikipedia/commons/3/3b/Perito_Moreno_Glacier.jpg
6.035,116.558,Mont Kinabalu Malaisie,4,https://upload.wikimedia.org/wikipedia/commons/2/2b/Fitz_Roy_Chalten.jpg
-4.011,122.519,Wakatobi récifs Indonésie,4,https://upload.wikimedia.org/wikipedia/commons/4/4f/Buenos_Aires_skyline.jpg
-2.877,132.296,Raja Ampat Papouasie,6,https://upload.wikimedia.org/wikipedia/commons/9/93/Rio_de_Janeiro_Corcovado.jpg
-10.171,123.597,Île de Rote Indonésie,3,https://upload.wikimedia.org/wikipedia/commons/4/4b/Salvador_Pelourinho.jpg
-33.868,151.209,Sydney falaises & océan,3,https://upload.wikimedia.org/wikipedia/commons/3/3a/Fortaleza_beach.jpg
-36.89,148.262,Parc Kosciuszko Australie,4,https://upload.wikimedia.org/wikipedia/commons/6/6b/Belem_Brazil.jpg
-16.918,145.778,Daintree Rainforest,4,https://upload.wikimedia.org/wikipedia/commons/6/6b/Belem_Brazil.jpg
-18.287,147.699,Great Barrier Reef îles,5,
-25.344,131.036,Uluru Australie,3,
-42.882,147.325,Tasmanie sauvage,6,
30.997,103.672,Mont Qingcheng Chine,3,
29.57,100.316,Région du Tibet Est,6,
27.988,86.925,Himalaya Népal (Everest View),5,
41.204,74.766,Tian Shan Kirghizistan,6,
42.491,78.395,Lac Issyk-Kul,4,
38.576,68.779,Pamir Tadjikistan,5,
39.654,66.959,Samarkand Ouzbékistan,3,
37.96,58.326,Désert du Karakoum,3,
38.963,35.243,Cappadoce Turquie,4,
41.008,28.978,Bosphore panoramas Istanbul,2,
43.075,25.617,Montagnes Balkans,4,
46.852,23.591,Monts Apuseni Roumanie,4,
49.82,20.04,Tatras Pologne/Slovaquie,4,
50.064,19.945,Cracovie & environs,3,
52.229,21.012,Varsovie fin du voyage,2,

